dataset,metric,value
bio-CE-PG,gcc,0.3208356459697971
bio-CE-PG,alcc,0.4466932007590472
bio-CE-PG,k4_count,9608852.0
bio-CE-PG,k4_density,2.82372517268864e-05
bio-CE-PG,C3_global,0.2465664397327217
bio-CE-PG,C3_avg_local,0.1221576646808128
bio-SC-HT,gcc,0.376593975509509
bio-SC-HT,alcc,0.3502090626628194
bio-SC-HT,k4_count,26302487.0
bio-SC-HT,k4_density,3.401867212812725e-05
bio-SC-HT,C3_global,0.3085114262760843
bio-SC-HT,C3_avg_local,0.1109500366286496
facebook,gcc,0.5191742775433075
facebook,alcc,0.6055467186200866
facebook,k4_density,2.7098795816032086e-06
facebook,C3_global,0.5116004053972948
hamsterster,gcc,0.2293964642100386
hamsterster,alcc,0.5399779368195858
hamsterster,k4_density,1.9845231133900005e-07
hamsterster,C3_global,0.1832359789214839
polblogs,gcc,0.2259585173589758
polblogs,alcc,0.3202546194373155
polblogs,k4_density,4.567827375694786e-06
polblogs,C3_global,0.1586247243001166
web-spam,gcc,0.14519305505955507
web-spam,alcc,0.28597852238642174
web-spam,k4_density,1.74205166935239e-08
web-spam,C3_global,0.09437517637861348
